"","Country Code","Year","Country Name","Researchers in R&D (per million people)","GDP per Capita (USD)","Research and development expenditure (% of GDP)","Unemployemnt total (% of total labor force) "
"1","ARG",2015,"Argentina",1231.4866,"13679.6264980954","0.622619986534119","7.579"
"2","ARG",2016,"Argentina",1260.701,"12699.9623137756","0.558149993419647","8.085"
"3","ARG",2017,"Argentina",1212.4573,"14532.5009308511","0.556309998035431","8.347"
"4","ARG",2018,"Argentina",1227.4042,"11752.7998922979","0.488299995660782","9.22"
"5","ARG",2019,"Argentina",1231.5171,"9955.97478680428","0.478130012750626","9.843"
"6","ARG",2020,"Argentina",1256.2672,"8535.59938004389","0.541260004043579","11.461"
"7","AUT",2015,"Austria",5074.43,"43915.228020857","3.04969000816345","5.802"
"8","AUT",2016,"Austria",5401.3037,"45061.4993920192","3.11654996871948","6.064"
"9","AUT",2017,"Austria",5416.8936,"47163.7425775142","3.05656003952026","5.561"
"10","AUT",2018,"Austria",5683.2427,"51194.0749841299","3.09182000160217","4.933"
"11","AUT",2019,"Austria",5959.55,"49885.9947355204","3.13264989852905","4.56"
"12","AUT",2020,"Austria",5829.8374,"48716.4098900349","3.20278000831604","5.201"
"13","BEL",2015,"Belgium",4741.8604,"40893.804537772","2.42816996574402","8.482"
"14","BEL",2016,"Belgium",4811.195,"41854.5498296444","2.52338004112244","7.83"
"15","BEL",2017,"Belgium",4757.9253,"44035.3239358548","2.66666007041931","7.09"
"16","BEL",2018,"Belgium",5032.3677,"47487.2100392561","2.86017990112305","5.941"
"17","BEL",2019,"Belgium",5280.422,"46716.6227467964","3.15659999847412","5.364"
"18","BEL",2020,"Belgium",5410.832,"45906.2875805246","3.39175009727478","5.545"
"19","BGR",2015,"Bulgaria",1939.1442,"7078.86032298969","0.949469983577728","9.143"
"20","BGR",2016,"Bulgaria",2198.808,"7570.93165511708","0.770089983940125","7.575"
"21","BGR",2017,"Bulgaria",2092.0813,"8381.88134621669","0.740369975566864","6.164"
"22","BGR",2018,"Bulgaria",2310.6191,"9436.14479876055","0.754130005836487","5.211"
"23","BGR",2019,"Bulgaria",2391.0247,"9838.60058985384","0.832740008831024","4.23"
"24","BGR",2020,"Bulgaria",2377.5557,"10198.5388313404","0.849669992923737","5.125"
"25","CAN",2015,"Canada",4582.3794,"43594.1941045394","1.69359004497528","6.945"
"26","CAN",2016,"Canada",4428.173,"42314.0615817218","1.72903001308441","7.038"
"27","CAN",2017,"Canada",4467.1562,"45129.628116623","1.68701994419098","6.426"
"28","CAN",2018,"Canada",4758.1025,"46539.1761570405","1.73720002174377","5.837"
"29","CAN",2019,"Canada",4894.2075,"46352.8693445211","1.75577998161316","5.69"
"30","CAN",2020,"Canada",5076.244,"43537.839298904","1.93413996696472","9.657"
"31","CHN",2015,"China",1164.9403,"8016.44559489998","2.05700993537903","4.65"
"32","CHN",2016,"China",1210.7411,"8094.39016735149","2.10033011436462","4.56"
"33","CHN",2017,"China",1237.742,"8817.04560829162","2.11602997779846","4.47"
"34","CHN",2018,"China",1319.356,"9905.40638304527","2.14057993888855","4.31"
"35","CHN",2019,"China",1485.8175,"10143.8602206165","2.2446300983429","4.56"
"36","CHN",2020,"China",1601.9221,"10408.7195541075","2.40666007995605","5"
"37","CYP",2015,"Cyprus",1010.6162,"23487.228515625","0.47529000043869","15.026"
"38","CYP",2016,"Cyprus",1058.5641,"24715.154296875","0.519699990749359","13.006"
"39","CYP",2017,"Cyprus",1209.6368,"26696.990234375","0.542590022087097","11.155"
"40","CYP",2018,"Cyprus",1408.1802,"29599.986328125","0.614049971103668","8.504"
"41","CYP",2019,"Cyprus",1657.7253,"29703.052734375","0.709450006484985","7.155"
"42","CYP",2020,"Cyprus",1739.8551,"28649.015625","0.83653998374939","7.755"
"43","CZE",2015,"Czechia",3619.2927,"17931.5987670768","1.91689002513885","5.048"
