indicatorId,geoUnit,year,type,subtype,value
FOSGP.5T8.F600,ABW,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,ABW,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ABW,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,ABW,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,AFG,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,AFG,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,AGO,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,AGO,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ALB,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,ALB,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ALB,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,ALB,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ALB,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,ALB,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ALB,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,ALB,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ALB,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,ALB,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ALB,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,ALB,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,AND,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,AND,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,AND,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,AND,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,AND,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,AND,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,AND,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,AND,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,AND,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,AND,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,AND,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,AND,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ARE,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,ARE,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ARE,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,ARE,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ARE,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,ARE,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ARG,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,ARG,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ARG,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,ARG,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ARM,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,ARM,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ARM,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,ARM,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ARM,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,ARM,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ARM,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,ARM,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ARM,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,ARM,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ARM,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,ARM,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,AUS,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,AUS,2015,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,AUS,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,AUS,2017,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,AUS,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,AUS,2018,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,AUS,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,AUS,2019,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,AUS,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,AUS,2020,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,AUT,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,AUT,2015,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,AUT,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,AUT,2016,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,AUT,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,AUT,2018,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,AUT,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,AUT,2019,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,AUT,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,AUT,2020,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,AZE,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,AZE,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,AZE,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,AZE,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,AZE,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,AZE,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,AZE,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,AZE,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,AZE,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,AZE,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,AZE,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,AZE,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BDI,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,BDI,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BDI,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,BDI,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BDI,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,BDI,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BEL,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,BEL,2015,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BEL,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,BEL,2016,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BEL,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,BEL,2017,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BEL,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,BEL,2018,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BEL,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,BEL,2019,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BEL,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,BEL,2020,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BEN,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,BEN,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BEN,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,BEN,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BEN,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,BEN,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BEN,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,BEN,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BFA,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,BFA,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BFA,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,BFA,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BFA,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,BFA,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BFA,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,BFA,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BFA,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,BFA,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BFA,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,BFA,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BGD,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,BGD,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BGD,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,BGD,2017,Source,Data sources,UIS Education Survey
